25,balkan,0.8,20,,,,
321,long,0.76635514,246,,,,
63,affair,0.841269841,53,,,,
15,sovereign,0.933333333,14,,,,
472,part,0.773305085,365,,,,
1046,secretari,0.656787763,687,,,,
48,engin,0.916666667,44,,,,
60,confer,0.7,42,,,,
278,present,0.651079137,181,,,,
41,wholli,0.829268293,34,,,,
30,unaccept,0.733333333,22,,,,
388,set,0.74742268,290,,,,
103,condit,0.834951456,86,,,,
11,pretext,0.363636364,4,,,,
176,start,0.710227273,125,,,,
230,anoth,0.708695652,163,,,,
345,without,0.660869565,228,,,,
146,basi,0.732876712,107,,,,
264,respect,0.825757576,218,,,,
209,success,0.736842105,154,,,,
35,nobodi,0.771428571,27,,,,
37,sinc 11 septemb,0.72972973,27,,,,
30,member secur council,0.733333333,22,,,,
12,let us consid,0.583333333,7,,,,
13,must understand,0.615384615,8,,,,
37,sinc 11,0.72972973,27,,,,
323,11-Sep,0.699690402,226,,,,
10,us must,0.6,6,,,,
62,must also,0.774193548,48,,,,
14,also accept,0.571428571,8,,,,
23,perman member,0.52173913,12,,,,
31,member secur,0.741935484,23,,,,
11,second point,0.818181818,9,,,,
16,two three,0.8125,13,,,,
18,three week,0.611111111,11,,,,
51,week ago,0.803921569,41,,,,
121,let us,0.694214876,84,,,,
17,us consid,0.588235294,10,,,,
465,taken,0.761290323,354,,,,
124,pursu,0.717741935,89,,,,
1419,must,0.732205779,1039,,,,
407,understand,0.746928747,304,,,,
968,world,0.688016529,666,,,,
364,chang,0.741758242,270,,,,
258,sinc,0.775193798,200,,,,
367,11,0.705722071,259,,,,
406,septemb,0.706896552,287,,,,
573,think,0.72425829,415,,,,
283,thing,0.727915194,206,,,,
51,previous,0.843137255,43,,,,
450,accept,0.706666667,318,,,,
127,longer,0.803149606,102,,,,
789,also,0.738910013,583,,,,
135,french,0.733333333,99,,,,
276,talk,0.684782609,189,,,,
141,togeth,0.730496454,103,,,,
91,idea,0.78021978,71,,,,
176,carri,0.767045455,135,,,,
148,subject,0.72972973,108,,,,
23,dread,0.695652174,16,,,,
16,fortun,0.875,14,,,,
716,give,0.73603352,527,,,,
99,five,0.878787879,87,,,,
55,perman,0.654545455,36,,,,
87,veto,0.586206897,51,,,,
163,decid,0.650306748,106,,,,
293,second,0.71331058,209,,,,
159,turn,0.767295597,122,,,,
482,happen,0.761410788,367,,,,
167,read,0.664670659,111,,,,
95,amend,0.610526316,58,,,,
33,100,0.666666667,22,,,,
28,presum,0.75,21,,,,
229,rather,0.711790393,163,,,,
941,made,0.749202976,705,,,,
458,two,0.790393013,362,,,,
446,week,0.730941704,326,,,,
255,ago,0.737254902,188,,,,
98,realli,0.642857143,63,,,,
60,sensibl,0.85,51,,,,
60,late,0.733333333,44,,,,
140,stage,0.757142857,106,,,,
373,day,0.721179625,269,,,,
377,tri,0.769230769,290,,,,
62,defeat,0.725806452,45,,,,
463,matter,0.75161987,348,,,,
314,let,0.792993631,249,,,,
216,consequ,0.685185185,148,,,,
81,battl,0.765432099,62,,,,
411,troop,0.652068127,268,,,,
149,command,0.879194631,131,,,,
43,structur,0.906976744,39,,,,
42,integr,0.738095238,31,,,,
108,allianc,0.703703704,76,,,,
206,play,0.849514563,175,,,,
89,vital,0.865168539,77,,,,
77,small,0.818181818,63,,,,
1275,militari,0.68627451,875,,,,
309,effort,0.815533981,252,,,,
18,withdrawn,1,18,,,,
169,destroy,0.74556213,126,,,,
120,credibl,0.85,102,,,,
617,british,0.648298217,400,,,,
261,gener,0.727969349,190,,,,
